city_name,latitude,longitude
Zawadzkie,50.6065834,18.4801284
Kolonowskie,50.6528574,18.3831071
Opole,50.678792900000005,17.929884436033525
Ustrzyki Dolne,49.4301874,22.5877003
Brzozów,49.6950395,22.0196537
Dębica,50.0514601,21.4104804
Brzostek,49.8784697,21.411865
Pilzno,49.978578,21.2908438
Radymno,49.9517176,22.8183129
Jarosław,50.0399766,22.6573724393374
Pruchnik,49.9061358,22.5160585
Jasło,49.7470465,21.4743139
Kołaczyce,49.8076605,21.4340516
Kolbuszowa,50.2433277,21.7754563
Rymanów,49.576131,21.8676433
Dukla,49.55636,21.6847523
Jedlicze,49.714148,21.6421513
Iwonicz-Zdrój,49.5696688,21.7932328
Leżajsk,50.2621687,22.418892
Nowa Sarzyna,50.3197908,22.3434799
Cieszanów,50.2454329,23.1301265
Narol,50.3488112,23.3274426
Oleszyce,50.1682003,23.0314836
Lubaczów,50.1574473,23.1225859
Łańcut,50.0690725,22.2320924
Radomyśl Wielki,50.1963674,21.2761596
Mielec,50.280247349999996,21.46313425491699
Przecław,50.1939186,21.4798564
Ulanów,50.4904352,22.2625676
Nisko,50.5198985,22.139886
Rudnik nad Sanem,50.4447766,22.2440326
Bircza,49.691222,22.4804308
Dubiecko,49.8253187,22.3916222
Sieniawa,50.1780728,22.6102155
Przeworsk,50.0601735,22.4923769
Kańczuga,49.9843732,22.4131838
Jawornik Polski,49.8886553,22.2837088
Sędziszów Małopolski,50.0715996,21.7007524
Ropczyce,50.0528608,21.6116324
Dynów,49.813777349999995,22.238094355888542
Błażowa,49.8856022,22.1008013
Głogów Małopolski,50.1511809,21.9627571
Boguchwała,49.9806882,21.9391822
Tyczyn,49.9637919,22.0336719
Sokołów Małopolski,50.2311643,22.1189272
Zagórz,49.5098822,22.2632894
Sanok,49.55895275,22.21176004039837
Stalowa Wola,50.5653105,22.0644075
Zaklików,50.7554368,22.1020214
Strzyżów,49.8702087,21.7856291
Nowa Dęba,50.413485,21.7541268
Baranów Sandomierski,50.4994982,21.5417887
Lesko,49.4689014,22.3303816
Krosno,49.6938045,21.7651458
Przemyśl,49.78355525,22.78851130307014
Rzeszów,50.0374531,22.0047174
Tarnobrzeg,50.5729327,21.6791667
Augustów,53.8449595,23.018354562748584
